"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Pine Labs Limited","EQ","-","PINELABS","07-NOV-2025","11-NOV-2025","Rs.210 to Rs.221","-"
"Billionbrains Garage Ventures Limited","EQ","   100","GROWW","04-NOV-2025","07-NOV-2025","Rs.95 to Rs.100","12-NOV-2025"
"Lenskart Solutions Limited","EQ","   402","LENSKART","31-OCT-2025","04-NOV-2025","Rs.382 to Rs.402","10-NOV-2025"
"Studds Accessories Limited","EQ","   585","STUDDS","30-OCT-2025","03-NOV-2025","Rs.557 to Rs.585","07-NOV-2025"
"Orkla India Limited","EQ","   730","ORKLAINDIA","29-OCT-2025","31-OCT-2025","Rs.695 to Rs.730","06-NOV-2025"
"Midwest Limited","EQ","  1065","MIDWESTLTD","15-OCT-2025","17-OCT-2025","Rs.1014 to Rs.1065","24-OCT-2025"
"Canara HSBC Life Insurance Company Limited","EQ","   106","CANHLIFE","10-OCT-2025","14-OCT-2025","Rs.100 to Rs.106","17-OCT-2025"
"Canara Robeco Asset Management Company Limited","EQ","   266","CRAMC","09-OCT-2025","13-OCT-2025","Rs.253 to Rs.266","16-OCT-2025"
"Rubicon Research Limited","EQ","   485","RUBICON","09-OCT-2025","13-OCT-2025","Rs.461 to Rs.485","16-OCT-2025"
"LG Electronics India Limited","EQ","  1140","LGEINDIA","07-OCT-2025","09-OCT-2025","Rs.1080 to Rs.1140","14-OCT-2025"
"Tata Capital Limited","EQ","   326","TATACAP","06-OCT-2025","08-OCT-2025","Rs.310 to Rs.326","13-OCT-2025"
"WeWork India Management Limited","EQ","   648","WEWORK","03-OCT-2025","07-OCT-2025","Rs.615 to Rs.648","10-OCT-2025"
"Advance Agrolife Limited","BE","   100","ADVANCE","30-SEP-2025","03-OCT-2025","Rs.95 to Rs.100","08-OCT-2025"
"Om Freight Forwarders Limited","BE","   135","OMFREIGHT","29-SEP-2025","03-OCT-2025","Rs.128 to Rs.135","08-OCT-2025"
"Glottis Limited","EQ","   129","GLOTTIS","29-SEP-2025","01-OCT-2025","Rs.120 to Rs.129","07-OCT-2025"
"Fabtech Technologies Limited","BE","   191","FABTECH","29-SEP-2025","01-OCT-2025","Rs.181 to Rs.191","07-OCT-2025"
"Pace Digitek Limited","EQ","   219","PACEDIGITK","26-SEP-2025","30-SEP-2025","Rs.208 to Rs.219","06-OCT-2025"
"Jinkushal Industries Limited","BE","   121","JKIPL","25-SEP-2025","29-SEP-2025","Rs.115 to Rs.121","03-OCT-2025"
"TruAlt Bioenergy Limited","EQ","   496","TRUALT","25-SEP-2025","29-SEP-2025","Rs.472 to Rs.496","03-OCT-2025"
"Jain Resource Recycling Limited","EQ","   232","JAINREC","24-SEP-2025","26-SEP-2025","Rs.220 to Rs.232","01-OCT-2025"
"BMW Ventures Limited","BE","    99","BMWVENTLTD","24-SEP-2025","26-SEP-2025","Rs.94 to Rs.99","01-OCT-2025"
"Epack Prefab Technologies Limited","EQ","   204","EPACKPEB","24-SEP-2025","26-SEP-2025","Rs.194 to Rs.204","01-OCT-2025"
"Seshaasai Technologies Limited","EQ","   423","STYL","23-SEP-2025","25-SEP-2025","Rs.402 to Rs.423","30-SEP-2025"
"Solarworld Energy Solutions Limited","EQ","   351","SOLARWORLD","23-SEP-2025","25-SEP-2025","Rs.333 to Rs.351","30-SEP-2025"
"Jaro Institute of Technology Management and Research Limited","EQ","   890","JARO","23-SEP-2025","25-SEP-2025","Rs.846 to Rs.890","30-SEP-2025"
