date,time,symbol,entry_price,current_price,high,low,stop_loss,target,status,days_held,pnl_pct
2025-12-05,09:22:02,ASHOKLEY.NS,3.40,2.89,2025-12-05,09:26:18,ASHOKLEY.NS,3.40,2.93,,,0.00,4.25,OPEN,0,-13.82
2025-12-05,09:26:18,ASHOKLEY.NS,2.89,2.93,,,0.00,4.25,OPEN,0,1.38
2025-12-05,09:26:18,PRESTIGE.NS,47.85,48.80,,,0.00,52.00,OPEN,0,1.99
2025-12-05,09:26:54,ASHOKLEY.NS,3.40,2.93,,,0.00,4.25,OPEN,0,-13.82
2025-12-05,09:26:54,ASHOKLEY.NS,2.89,2.93,,,0.00,4.25,OPEN,0,1.38
2025-12-05,09:26:54,PRESTIGE.NS,47.85,48.80,,,0.00,52.00,OPEN,0,1.99
2025-12-05,09:28:10,ASHOKLEY.NS,3.40,2.94,,,0.00,4.25,OPEN,0,-13.53
2025-12-05,09:28:10,ASHOKLEY.NS,2.89,2.98,,,0.00,4.25,OPEN,0,3.11
2025-12-05,09:28:10,PRESTIGE.NS,47.85,48.05,,,0.00,52.00,OPEN,0,0.42
2025-12-05,09:29:51,ASHOKLEY.NS,3.40,3.08,,,0.00,4.25,OPEN,0,-9.41
2025-12-05,09:29:51,ASHOKLEY.NS,2.89,3.08,,,0.00,4.25,OPEN,0,6.57
2025-12-05,09:29:51,PRESTIGE.NS,47.85,50.35,,,0.00,52.00,OPEN,0,5.22
2025-12-05,09:34:21,ASHOKLEY.NS,3.40,2.96,2.96,2.96,0.00,4.25,OPEN,0,-12.94
2025-12-05,09:34:21,ASHOKLEY.NS,2.89,2.96,2.96,2.96,0.00,4.25,OPEN,0,2.42
2025-12-05,09:34:21,PRESTIGE.NS,47.85,50.00,50.00,50.00,0.00,52.00,OPEN,0,4.49
2025-12-05,14:23:56,PRESTIGE.NS,47.85,52.40,52.40,52.40,0.00,52.00,TARGET_HIT,0,8.67
2025-12-05,14:23:56,BANKNIFTY.NS,600.00,0.00,0.00,0.00,0.00,650.00,OPEN,0,0.00
2025-12-06,09:52:32,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,0,8.67
2025-12-06,09:52:32,BANKNIFTY.NS,600.00,0.00,0.00,0.00,0.00,650.00,OPEN,0,0.00
2025-12-06,10:01:14,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,0,8.67
2025-12-06,10:01:14,BANKNIFTY.NS,600.00,0.00,0.00,0.00,0.00,650.00,OPEN,0,0.00
2025-12-06,10:02:38,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,0,8.67
2025-12-06,10:02:38,BANKNIFTY.NS,600.00,0.00,0.00,0.00,0.00,650.00,OPEN,0,0.00
2025-12-06,10:04:47,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,0,8.67
2025-12-06,10:04:47,BANKNIFTY.NS,600.00,0.00,0.00,0.00,0.00,650.00,OPEN,0,0.00
2025-12-06,10:07:27,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,0,8.67
2025-12-06,10:07:27,BANKNIFTY.NS,600.00,0.00,0.00,0.00,0.00,650.00,OPEN,0,0.00
2025-12-06,10:13:14,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,0,8.67
2025-12-06,10:13:14,BANKNIFTY.NS,600.00,0.00,0.00,0.00,0.00,650.00,OPEN,0,0.00
2025-12-06,10:22:42,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,0,8.67
2025-12-06,10:22:42,BANKNIFTY.NS,600.00,0.00,0.00,0.00,0.00,650.00,OPEN,0,0.00
2025-12-06,11:09:03,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,0,8.67
2025-12-06,11:09:03,BANKNIFTY.NS,600.00,0.00,0.00,0.00,0.00,650.00,OPEN,0,0.00
2025-12-06,11:17:00,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,11:17:00,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,11:17:29,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,11:17:29,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,11:19:02,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,11:19:02,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,11:21:16,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,11:21:16,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,11:30:37,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,11:30:37,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,11:40:15,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,11:40:15,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,11:42:05,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,11:42:05,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,12:36:52,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,12:36:52,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,12:39:08,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,12:39:08,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,12:45:31,PRESTIGE.NS,47.85,53.55,53.55,53.55,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,12:45:31,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,12:54:07,PRESTIGE.NS,47.85,53.55,53.55,47.85,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,12:54:07,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,13:05:47,PRESTIGE.NS,47.85,53.55,53.55,47.85,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,13:05:47,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,16:31:47,PRESTIGE.NS,47.85,53.55,53.55,47.85,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,16:31:47,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,17:53:39,PRESTIGE.NS,47.85,53.35,61.00,47.85,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,17:53:39,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,17:58:26,PRESTIGE.NS,47.85,53.35,61.00,47.85,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,17:58:26,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,18:07:55,PRESTIGE.NS,47.85,53.35,61.00,47.85,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,18:07:55,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,18:15:53,PRESTIGE.NS,47.85,53.35,61.00,47.85,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,18:15:53,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,18:24:48,PRESTIGE.NS,47.85,53.35,61.00,47.85,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,18:24:48,BANKNIFTY.NS,600.00,600.00,600.00,600.00,0.00,650.00,OPEN,1,0.00
2025-12-06,18:27:40,PRESTIGE.NS,47.85,53.35,61.00,47.85,0.00,52.00,TARGET_HIT,1,8.67
2025-12-06,18:27:40,BANKNIFTY.NS,600.00,740.70,790.75,600.00,0.00,650.00,TARGET_HIT,1,8.33
2025-12-06,18:31:21,PRESTIGE.NS,47.85,53.35,61.00,47.85,0.00,52.00,TARGET_HIT,1,8.49
2025-12-06,18:31:21,BANKNIFTY.NS,600.00,740.70,790.75,600.00,0.00,650.00,TARGET_HIT,1,8.07
2025-12-06,18:35:31,PRESTIGE.NS,47.85,53.35,61.00,47.85,0.00,52.00,TARGET_HIT,1,8.49
2025-12-06,18:35:31,BANKNIFTY.NS,600.00,740.70,790.75,600.00,0.00,650.00,TARGET_HIT,1,8.07
2025-12-06,18:36:03,BANKNIFTY.NS,600.00,740.70,790.75,600.00,0.00,650.00,TARGET_HIT,1,8.07
2025-12-09,08:55:55,POLICYBZR.NS,66.00,66.00,66.00,66.00,0.00,73.00,OPEN,0,0.00
2025-12-09,08:55:55,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,0,0.00
2025-12-09,08:55:55,CHOLAFIN.NS,32.00,32.00,32.00,32.00,0.00,36.00,OPEN,0,0.00
2025-12-09,08:55:55,NIFTY.NS,115.00,115.00,115.00,115.00,0.00,135.00,OPEN,0,0.00
2025-12-09,08:55:55,BANKNIFTY.NS,490.00,490.00,490.00,490.00,0.00,530.00,OPEN,0,0.00
2025-12-09,09:03:35,POLICYBZR.NS,66.00,66.00,66.00,66.00,0.00,73.00,OPEN,0,0.00
2025-12-09,09:03:35,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,0,0.00
2025-12-09,09:03:35,CHOLAFIN.NS,32.00,32.00,32.00,32.00,0.00,36.00,OPEN,0,0.00
2025-12-09,09:03:35,NIFTY.NS,115.00,115.00,115.00,115.00,0.00,135.00,OPEN,0,0.00
2025-12-09,09:03:35,BANKNIFTY.NS,490.00,490.00,490.00,490.00,0.00,530.00,OPEN,0,0.00
2025-12-09,09:08:15,POLICYBZR.NS,66.00,66.00,66.00,66.00,0.00,73.00,OPEN,0,0.00
