date,time,symbol,entry_price,current_price,high,low,stop_loss,target,status,days_held,pnl_pct
2025-10-22,15:30:46,MASKINVEST.NS,220.83,220.83,222.54,195.45,187.71,298.12,OPEN,0,0.00
2025-10-22,15:30:46,GUJRAFFIA.NS,78.18,78.18,78.18,76.85,66.45,105.54,OPEN,0,0.00
2025-10-22,15:30:46,RGL.NS,140.11,140.11,142.50,137.85,119.09,189.01,OPEN,0,0.00
2025-10-22,15:36:21,MASKINVEST.NS,220.83,220.83,222.54,195.45,187.71,298.12,OPEN,0,0.00
2025-10-22,15:36:21,GUJRAFFIA.NS,78.18,78.18,78.18,76.85,66.45,105.54,OPEN,0,0.00
2025-10-22,15:36:21,RGL.NS,140.11,140.11,142.50,137.85,119.09,189.01,OPEN,0,0.00
2025-10-22,16:57:02,MASKINVEST.NS,220.83,220.83,222.54,195.45,187.71,298.12,OPEN,0,0.00
2025-10-22,16:57:02,GUJRAFFIA.NS,78.18,78.18,78.18,76.85,66.45,105.54,OPEN,0,0.00
2025-10-22,16:57:02,RGL.NS,140.11,140.11,142.50,137.85,119.09,189.01,OPEN,0,0.00
2025-10-24,01:14:06,MASKINVEST.NS,220.83,219.55,229.90,210.00,187.71,298.12,OPEN,1,-0.58
2025-10-24,01:14:06,GUJRAFFIA.NS,78.18,82.08,82.08,82.08,66.45,105.54,OPEN,1,4.99
2025-10-24,01:14:06,RGL.NS,140.11,137.60,141.50,135.75,119.09,189.01,OPEN,1,-1.79
2025-10-24,01:14:37,MASKINVEST.NS,220.83,219.55,229.90,210.00,187.71,298.12,OPEN,1,-0.58
2025-10-24,01:14:37,GUJRAFFIA.NS,78.18,82.08,82.08,82.08,66.45,105.54,OPEN,1,4.99
2025-10-24,01:14:37,RGL.NS,140.11,137.60,141.50,135.75,119.09,189.01,OPEN,1,-1.79
2025-10-24,01:17:02,MASKINVEST.NS,220.83,219.55,229.90,210.00,187.71,298.12,OPEN,1,-0.58
2025-10-24,01:17:02,GUJRAFFIA.NS,78.18,82.08,82.08,82.08,66.45,105.54,OPEN,1,4.99
2025-10-24,01:17:02,RGL.NS,140.11,137.60,141.50,135.75,119.09,189.01,OPEN,1,-1.79
2025-10-25,17:18:11,MASKINVEST.NS,220.83,208.57,223.94,208.57,187.71,298.12,OPEN,3,-5.55
2025-10-25,17:18:11,GUJRAFFIA.NS,78.18,86.18,86.18,86.18,66.45,105.54,OPEN,3,10.23
2025-10-25,17:18:11,RGL.NS,140.11,135.02,139.00,133.00,119.09,189.01,OPEN,3,-3.63
2025-10-25,22:27:59,MASKINVEST.NS,220.83,208.57,223.94,208.57,187.71,298.12,OPEN,3,-5.55
2025-10-25,22:27:59,GUJRAFFIA.NS,78.18,86.18,86.18,86.18,66.45,105.54,OPEN,3,10.23
2025-10-25,22:27:59,RGL.NS,140.11,135.02,139.00,133.00,119.09,189.01,OPEN,3,-3.63
2025-10-25,22:40:40,MASKINVEST.NS,220.83,208.57,223.94,208.57,187.71,298.12,OPEN,3,-5.55
2025-10-25,22:40:40,GUJRAFFIA.NS,78.18,86.18,86.18,86.18,66.45,105.54,OPEN,3,10.23
2025-10-25,22:40:40,RGL.NS,140.11,135.02,139.00,133.00,119.09,189.01,OPEN,3,-3.63
2025-10-25,22:46:48,MASKINVEST.NS,220.83,208.57,223.94,208.57,187.71,298.12,OPEN,3,-5.55
2025-10-25,22:46:48,GUJRAFFIA.NS,78.18,86.18,86.18,86.18,66.45,105.54,OPEN,3,10.23
2025-10-25,22:46:48,RGL.NS,140.11,135.02,139.00,133.00,119.09,189.01,OPEN,3,-3.63
2025-10-25,22:48:30,MASKINVEST.NS,220.83,208.57,223.94,208.57,187.71,298.12,OPEN,3,-5.55
2025-10-25,22:48:30,GUJRAFFIA.NS,78.18,86.18,86.18,86.18,66.45,105.54,OPEN,3,10.23
2025-10-25,22:48:30,RGL.NS,140.11,135.02,139.00,133.00,119.09,189.01,OPEN,3,-3.63
2025-10-25,23:39:25,MASKINVEST.NS,220.83,208.57,223.94,208.57,187.71,298.12,OPEN,3,-5.55
2025-10-25,23:39:25,GUJRAFFIA.NS,78.18,86.18,86.18,86.18,66.45,105.54,OPEN,3,10.23
2025-10-25,23:39:25,RGL.NS,140.11,135.02,139.00,133.00,119.09,189.01,OPEN,3,-3.63
2025-10-26,17:04:08,MASKINVEST.NS,220.83,208.57,223.94,208.57,187.71,298.12,OPEN,4,-5.55
2025-10-26,17:04:08,GUJRAFFIA.NS,78.18,86.18,86.18,86.18,66.45,105.54,OPEN,4,10.23
2025-10-26,17:04:08,RGL.NS,140.11,135.02,139.00,133.00,119.09,189.01,OPEN,4,-3.63
2025-10-27,10:08:32,MASKINVEST.NS,220.83,198.20,198.20,198.14,187.71,298.12,OPEN,5,-10.25
2025-10-27,10:08:32,GUJRAFFIA.NS,78.18,81.87,88.00,81.87,66.45,105.54,OPEN,5,4.72
2025-10-27,10:08:32,RGL.NS,140.11,133.73,136.63,133.00,119.09,189.01,OPEN,5,-4.55
2025-10-27,13:56:15,MASKINVEST.NS,220.83,198.20,214.00,198.14,187.71,298.12,OPEN,5,-10.25
2025-10-27,13:56:15,GUJRAFFIA.NS,78.18,81.87,88.00,81.87,66.45,105.54,OPEN,5,4.72
2025-10-27,13:56:15,RGL.NS,140.11,134.05,136.63,133.00,119.09,189.01,OPEN,5,-4.33
2025-10-27,15:02:56,MASKINVEST.NS,220.83,198.14,214.00,198.14,187.71,298.12,OPEN,5,-10.27
2025-10-27,15:02:56,GUJRAFFIA.NS,78.18,81.87,88.00,81.87,66.45,105.54,OPEN,5,4.72
2025-10-27,15:02:56,RGL.NS,140.11,134.87,136.63,133.00,119.09,189.01,OPEN,5,-3.74
2025-10-29,22:09:06,MASKINVEST.NS,220.83,183.35,183.50,183.35,187.71,298.12,STOP_LOSS_HIT,0,-15.00
2025-10-29,22:09:06,GUJRAFFIA.NS,78.18,73.88,73.88,73.88,66.45,105.54,OPEN,7,-5.50
2025-10-29,22:09:06,RGL.NS,140.11,134.95,135.75,133.19,119.09,189.01,OPEN,7,-3.68
